field_id,question_text
E4_2,AGRISENSO Plus Loan Agreement Profile > Loan Amount > Amount Approved under Agreement: PHP
E4_3,AGRISENSO Plus Loan Agreement Profile > Loan Amount > Amount Released to Date: PHP
E4_4,AGRISENSO Plus Loan Agreement Profile > Loan Amount > Loan Amount
E5_1,AGRISENSO Plus Loan Agreement Profile > Stated Purpose of Loan > What was the intended purpose stated in the application/agreement?
E5_2,AGRISENSO Plus Loan Agreement Profile > Stated Purpose of Loan > Primary purpose
E6_1,AGRISENSO Plus Loan Agreement Profile > Interest Rate > Reported interest rate (%)
E6_2,AGRISENSO Plus Loan Agreement Profile > Interest Rate > Interest Rate
E7_1,AGRISENSO Plus Loan Agreement Profile > Loan Term > Response (years)
E8_1,AGRISENSO Plus Loan Agreement Profile > Repayment Schedule > Repayment Schedule
E9_1,AGRISENSO Plus Loan Agreement Profile > Grace Period > Grace Period
E10_1,"AGRISENSO Plus Loan Agreement Profile > Collateral / Security > Was collateral, security, or a guarantee required?"
E10_2,AGRISENSO Plus Loan Agreement Profile > Collateral / Security > Collateral / Security
E11_1,AGRISENSO Plus Loan Agreement Profile > Co-Maker / Guarantor > Was a co-maker or guarantor required?
E11_2,AGRISENSO Plus Loan Agreement Profile > Co-Maker / Guarantor > Co-Maker / Guarantor
E12_1,AGRISENSO Plus Loan Agreement Profile > Documentary Requirements > Approximately how many documents were required? (documents)
E12_2,AGRISENSO Plus Loan Agreement Profile > Documentary Requirements > Documentary Requirements
E13_1,AGRISENSO Plus Loan Agreement Profile > Number of Visits > Approximately how many visits to LANDBANK or another relevant office were necessary? (visits)
E13_2,AGRISENSO Plus Loan Agreement Profile > Number of Visits > Number of Visits
E14_1,AGRISENSO Plus Loan Agreement Profile > Application-Related Costs > Estimated transportation/travel cost PHP
E14_2,AGRISENSO Plus Loan Agreement Profile > Application-Related Costs > Other application/document-related cost PHP
E14_3,AGRISENSO Plus Loan Agreement Profile > Application-Related Costs > Application-Related Costs
E15_1,AGRISENSO Plus Loan Agreement Profile > First or Repeat AGRISENSO Plus Loan > First or Repeat AGRISENSO Plus Loan
E15_2,"AGRISENSO Plus Loan Agreement Profile > First or Repeat AGRISENSO Plus Loan > Total number of AGRISENSO Plus loans, including current loan"
E16_1,"AGRISENSO Plus Loan Agreement Profile > Other Active Financing > Aside from AGRISENSO Plus, do you currently have another active loan?"
E16_2,AGRISENSO Plus Loan Agreement Profile > Other Active Financing > Main source:
E17_1,AGRISENSO Plus Loan Agreement Profile > Current Repayment Status > Ask only if repayment has commenced.
F1_table1__Seeds_planting_materials__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Seeds / planting materials > Approximate %
F1_table1__Fertilizer_crop_inputs__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Fertilizer / crop inputs > Approximate %
F1_table1__Feeds_veterinary_inputs__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Feeds / veterinary inputs > Approximate %
F1_table1__Fingerlings_aquaculture_inputs__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Fingerlings / aquaculture inputs > Approximate %
F1_table1__Livestock_poultry__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Livestock / poultry > Approximate %
F1_table1__Labor__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Labor > Approximate %
F1_table1__Land_preparation__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Land preparation > Approximate %
F1_table1__Irrigation__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Irrigation > Approximate %
F1_table1__Machinery_equipment__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Machinery / equipment > Approximate %
